session,block,trial,phonemes
t15.2023.08.13,8,20,AY  |  G EH T  |  T AY ER D  |  W IH DH  |  DH AH  |  S AO NG  |  AH N D  |  D EY S  |  R AH T IY N  | 
t15.2023.08.13,8,21,IH M ER JH AH S IY  |  K EH R  | 
t15.2023.08.13,8,22,Y UW  |  K R IY EH N T  |  AH  |  B IH G ER  |  S AH P R AO Z  | 
t15.2023.08.13,8,23,AY  |  TH IH NG K  |  M EH N IY  |  Y UW  |  L UH K  |  AE T  |  IH T  | 
t15.2023.08.13,8,24,SH OW  |  DH AE T  |  DH EY  |  D UW  |  HH AE V  |  P R AA B L AH M Z  | 
t15.2023.08.13,8,25,AY  |  EH N JH OY  |  DH AE T  |  T UW  | 
t15.2023.08.13,8,26,AY  |  M UW V D  |  T UW  |  G EH N Z AH S  |  S IH T IY  | 
t15.2023.08.13,8,27,M EY B IY  |  F AO R  |  T AY M Z  |  AH  |  W IY K  | 
t15.2023.08.13,8,28,W UH D  |  HH IY  |  DH IY Z  |  IH T  |  T UW  |  IH Z  |  AH V AE N AH S T  | 
t15.2023.08.13,8,29,DH EH R Z  |  JH AH S T  |  N OW  |  W AH N  |  ER AW N D  | 
t15.2023.08.13,8,30,DH AH  |  S IH S T AH M  |  R AY T  |  N AW  | 
t15.2023.08.13,8,31,IY DH ER  |  W AH N  |  AH V  |  DH EH M  |  W UH D  |  B IY  |  AH  |  T IY SH AH N T  |  CH OY S  | 
t15.2023.08.13,8,32,DH IY Z  |  L AY K  |  DH AE T  | 
t15.2023.08.13,8,33,AY  |  L AY V D  |  IH N  |  P L EY S AH Z  | 
t15.2023.08.13,8,34,Y UW  |  HH AE D  |  T UW  |  CH EY N JH  |  IH T  | 
t15.2023.08.13,8,35,IH T  |  JH AH S T  |  S AO R T  |  AH V  |  HH AE P AH L Z  |  AO T AH M AE T IH K L IY  | 
t15.2023.08.13,8,36,M IH N AH S  |  Y AO R  |  HH EH L P  |  IH N  |  DH AH  |  AH Z EH  |  P AA R T AH L  | 
t15.2023.08.13,8,37,IH T S  |  AH  |  CH OW K IH NG  |  HH AE Z ER D  | 
