session,block,trial,phonemes
t15.2023.08.13,8,20,AY  |  G EH T  |  T AY ER D  |  W IH DH  |  DH AH  |  S AO NG  |  AH N D  |  D EY K S  |  R IH T IY N  | 
t15.2023.08.13,8,21,IH M ER R JH AH S IY  |  K EH R  | 
t15.2023.08.13,8,22,Y UW  |  K R IY EH T  |  AH  |  B IH G ER  |  S ER P R AY Z  | 
t15.2023.08.13,8,23,AY  |  TH IH NG K  |  M EH B IY  |  Y UW  |  L UH K  |  AE T  |  IH T  | 
t15.2023.08.13,8,24,SH OW  |  DH AE T  |  DH EY  |  D UW  |  HH AE V  |  P R AA B L AH M Z  | 
t15.2023.08.13,8,25,AY  |  EH N JH OY  |  DH AE T  |  T UW  | 
t15.2023.08.13,8,26,AY  |  M UW V D  |  T UW  |  G AE Z AH S  |  S IH T IY  | 
t15.2023.08.13,8,27,M EY B IY  |  F AO R  |  T AY M Z  |  AH  |  W IY K  | 
t15.2023.08.13,8,28,W EH N  |  HH IY  |  S IY Z  |  IH T  |  T UW  |  HH IH Z  |  IH V IH N AH N T  | 
t15.2023.08.13,8,29,DH EH R Z  |  JH AH S T  |  N OW  |  W AH N  |  ER AW N D  | 
t15.2023.08.13,8,30,DH AH  |  S IH S T AH M  |  R AY T  |  N AW  | 
t15.2023.08.13,8,31,IY DH ER  |  W AH N  |  AH V  |  DH EH M  |  W UH D  |  B IY  |  AH  |  D IH S AH N T  |  CH OY S  | 
t15.2023.08.13,8,32,DH IH NG Z  |  L AY K  |  DH AE T  | 
t15.2023.08.13,8,33,AY  |  L AY V D  |  IH N  |  P L EY S AH Z  | 
t15.2023.08.13,8,34,Y UW  |  HH AE D  |  T UW  |  CH EY N JH  |  IH T  | 
t15.2023.08.13,8,35,IH T  |  JH AH S T  |  S AO R T  |  AH V  |  HH AE P AH L Z  |  AH N AH M AA T AH K L IY  | 
t15.2023.08.13,8,36,M IH N AH S T  |  Y AO R  |  AH P  |  IH N  |  DH AH  |  AH S Z OW  |  B AO T AH L  | 
t15.2023.08.13,8,37,IH T S  |  AH  |  JH OW K IH NG  |  AH Z ER D  | 
t15.2023.08.13,8,38,IY V IH N  |  AE F T ER  |  Y UW  |  W EY T  |  F Y AO R  |  N AE N  |  D EY S  | 
t15.2023.08.13,8,39,AY  |  G EH S  |  DH EY  |  M AH CH T  |  B IY  |  V IH AH S T  | 
t15.2023.08.13,9,15,DH EY  |  K EY M  |  B AE K  |  L IH T ER  | 
t15.2023.08.13,9,16,W EH L  |  W AH T  |  D UW  |  Y UW  |  D UW  |  AA N  |  Y UW  |  Y AA R D  | 
t15.2023.08.13,9,17,DH AE T S  |  W AY  |  DH EY  |  K AO L  |  DH EH M  |  S W EY M IH NG  |  B OW L Z  | 
t15.2023.08.13,9,18,IH T  |  K AH M ER Z  |  DH AH  |  B OW K  |  AH V  |  DH AH  |  D IH T AH L  |  IH K S P EH N S AH S  | 
t15.2023.08.13,9,19,T AO K  |  T UW  |  AW ER  |  R IH T AH L  | 
t15.2023.08.13,9,20,Y UW  |  W ER  |  JH AH S T  |  AH P  |  DH EH R  |  DH EH N  | 
t15.2023.08.13,9,21,L AE S T  |  Y IH R  |  AO R  |  DH AH  |  Y IH R  |  B IH F AO R  | 
t15.2023.08.13,9,22,Y UW  |  TH IH NG M  |  S AH NG  |  AH V  |  Y UW  |  CH OY S  |  F R AH M  |  DH AE T  |  SH OW  | 
t15.2023.08.13,9,23,L AY K  |  B L EY K  |  AY D  |  B IY  |  AH N D  |  DH AE T  |  K AY N D  |  AH V  |  TH IH NG  | 
t15.2023.08.13,9,24,IH F  |  HH IY  |  D IH D  |  S AH M TH IH NG  |  B AE D  | 
t15.2023.08.13,9,25,AY  |  TH IH NG K  |  DH EH R  |  AH  |  G UH D  |  T IY M  | 
t15.2023.08.13,9,26,AY  |  K AE N T  |  TH IH NG K  |  AH V  |  DH AH  |  N EY M  | 
t15.2023.08.13,9,27,AH  |  L AA R JH  |  S AY N D  |  K EH R  |  F AH S IH L AH T IY  |  N OW  | 
t15.2023.08.13,9,28,AA R  |  Y UW  |  R UH M AH N  |  K AE N TH L IY  |  AO R  |  S AH M TH IH NG  |  EH S  | 
t15.2023.08.13,9,29,DH AE T  |  K AY N D  |  Y UW V  |  R EH D  |  R IY S AH N T L IY  | 
t15.2023.08.18,6,24,IH T  |  IH Z  |  R IH L IY  |  G UH D  | 
t15.2023.08.18,6,25,AY  |  D UW  |  P L EY  |  DH AH  |  P IY AE N OW  | 
t15.2023.08.18,6,26,K AH M AH N T  |  AH N D  |  JH OY N  |  DH AH  |  K AA N V ER S EY SH AH N  | 
t15.2023.08.18,6,27,DH AE T  |  IH Z  |  DH AH  |  P OY N T  |  AH V  |  DH IH S  |  AA R T AH K AH L  | 
t15.2023.08.18,6,28,W IY V  |  R IH M AA D AH L D  |  AO L  |  AW ER  |  Y UW N AH T S  | 
t15.2023.08.18,6,29,AH N AH DH ER  |  R IY L  |  G UH D  |  W AH N  | 
t15.2023.08.18,6,30,IH T S  |  M AO R  |  IH F IH SH AH N T  |  T UW  |  D UW  |  TH IH NG Z  |  Y ER S EH L F  | 
t15.2023.08.18,6,31,AY  |  G EH S  |  DH AE T  |  AY  |  R IH L IY  |  D OW N T  |  N OW  |  DH AE T  |  M AH CH  | 
t15.2023.08.18,6,32,D OW N T  |  T EH L  |  DH AE T  |  T UW  |  AH  |  N IH T AH V  |  T EH S AH N  |  N OW  | 
t15.2023.08.18,6,33,AY  |  W IH SH  |  AY  |  G UH D  | 
t15.2023.08.18,6,34,AY  |  K AE N  |  HH AA R D L IY  |  W EY T  | 
t15.2023.08.18,6,35,DH EH R  |  G OW IH NG  |  T UW  |  B IY  |  IH N  |  IY V IH N  |  W ER S  |  S EH P  | 
t15.2023.08.18,6,36,DH EY  |  B L AO L  |  DH AH  |  W IY S AH L  |  AA N  |  IH CH  |  K AH DH ER  | 
t15.2023.08.18,6,37,AY  |  W UH D  |  M AH CH  |  R AE DH ER  |  OW L D  |  M AY  |  OW N  |  HH OW M  | 
t15.2023.08.18,6,38,N AA T  |  IY V IH N  |  AH  |  D R EH S IY  |  S L AH K  | 
t15.2023.08.18,6,39,D R AO  |  EH N IY  |  K AH N K L UW ZH AH N Z  |  B EY S T  |  AA N  |  R IY L  |  IH N T EH L UW S AH N Z  | 
t15.2023.08.18,6,41,JH AH S T  |  T UW  |  F AO T  |  IH T  | 
t15.2023.08.18,6,42,DH AE T  |  IH Z  |  JH AH S T  |  P ER S IH AH N AH L  |  F IY L IH NG  | 
t15.2023.08.18,6,43,DH EY  |  D OW N T  |  S IY  |  IH CH  |  AH DH ER  |  V EH R IY  |  AO F AH N  | 
t15.2023.08.18,6,44,IH T  |  HH AE Z  |  B IH N  |  R IY L  |  G UH D  |  T AO K IH NG  |  T UW  |  Y UW  | 
t15.2023.08.18,6,45,R EH D IH NG  |  AH N D  |  TH IH NG Z  |  L AY K  |  DH IH S  | 
t15.2023.08.18,6,46,DH EY  |  T R AY  |  T UW  |  TH R OW  |  IH N  |  G UH D  |  S T AH F  | 
t15.2023.08.18,6,47,IH F  |  Y UW  |  G EH T  |  P L IY S  | 
t15.2023.08.18,6,48,AY  |  TH IH NG K  |  DH IH S  |  IH Z  |  L AY K  |  T UW  |  Y IH R Z  |  AH G OW  | 
t15.2023.08.18,6,49,DH AH  |  B IY P  |  IH N  |  DH AH  |  B AE G R AW N D  | 
t15.2023.08.18,7,25,HH IY  |  HH AE Z  |  IH T  |  R IH L IY  |  N AY S  | 
t15.2023.08.18,7,26,IH Z  |  HH IY  |  AH  |  P R AA B L AH M  |  JH AY L D  | 
t15.2023.08.18,7,27,T UW  |  G R OW  |  AH P  |  AH N D  |  T UW  |  D IH S AY D  |  W AH T  |  DH EY  |  W AA N T  |  T UW  |  D UW  | 
t15.2023.08.18,7,28,DH EY  |  HH AE D  |  N OW  |  CH OY S  |  B AH T  |  T UW  |  L IY V  | 
t15.2023.08.18,7,29,S EH N T D L IY  |  DH EH R  |  AE S K  |  T UW  |  B IY  |  AH  |  K AH L UW ZH AH N  | 
t15.2023.08.18,7,30,Y UW  |  G EH T  |  M AO R  |  S T AH F  | 
t15.2023.08.18,7,31,SH IY  |  S EH D  |  DH AE T  |  DH AH  |  K L OW ZH IY ER Z  |  W UH D  |  B IY  |  P R ER M AH N AH N T  | 
t15.2023.08.18,7,32,DH EY  |  AO L  |  K L EH P T  |  AE Z  |  HH IY  |  JH AA L D  |  AW T  |  T UW  |  JH OY N  |  DH EH M  | 
t15.2023.08.18,7,33,AY  |  TH IH NG K  |  IH T  |  W UH D  |  D UW  |  S AH M TH IH NG  |  F AO R  |  IH T  | 
t15.2023.08.18,7,34,AY  |  D OW N T  |  L AY V  |  IH N  |  AH  |  HH AW S  | 
t15.2023.08.18,7,35,S OW  |  IH Z  |  AH  |  F AE N  |  AH V  |  IH S T ER IY  | 
t15.2023.08.18,7,36,DH AE T  |  W AA Z  |  AO L M OW S T  |  AE N  |  IH G Z AE M P AH L  | 
t15.2023.08.18,7,37,AH P T IH SH AH N  |  IH Z  |  W AA T  |  M OW S CH T  |  AH V  |  DH EH M  |  N IY D  | 
t15.2023.08.18,7,38,AE N  |  IH N D AH N AE SH AH N AH L  |  B AA K Y AH L EY SH AH N  | 
t15.2023.08.18,7,39,W AA N T  |  T UW  |  G OW  |  AE T IH NG  | 
t15.2023.08.18,7,40,N OW  |  AH M IY D IY AH OW  |  R IH P R AO R T S  |  AH V  |  K AE ZH AH W AH L IY Z  | 
t15.2023.08.18,7,41,Y UW  |  HH AE V  |  T UW  |  W ER K  |  ER AW N D  |  IH T  | 
t15.2023.08.18,7,42,K AH N F Y UW ZH AH N  |  AH N D  |  AH S ER T AH T IY  | 
t15.2023.08.18,7,43,DH EH R  |  IH Z  |  N OW  |  K AH P  |  B IH K  |  AH P  | 
t15.2023.08.18,7,44,W AH T  |  HH AE P AH Z  |  IH F  |  W IY  |  L UW Z  |  W ER S  | 
t15.2023.08.18,7,45,DH EH R  |  W AA Z  |  N OW  |  P OY N T  |  IH N  |  D EH L IH NG  |  W IH DH  |  HH IH M  | 
t15.2023.08.18,7,46,N AA T  |  K W AY T  |  DH AE T  |  AO F AH N  | 
t15.2023.08.18,7,47,D OW N T  |  T R AE AH L  |  T UW  |  M AH CH  | 
t15.2023.08.18,7,48,W AH T S  |  IH T  |  L AY K  |  F R AA R M  |  AE N  |  AA R D AH T  |  P OY N T  |  AH V  |  V Y UW  | 
t15.2023.08.18,7,49,IH T  |  L UH K S  |  L AY K  |  DH EY V  |  G AA T  |  AH  |  W IH P AH N  | 
t15.2023.08.20,7,25,AY  |  HH AE V  |  TH R IY  |  L EH F T  |  IH N  |  DH AH  |  HH AW S  | 
t15.2023.08.20,7,26,DH AE T  |  AY D IY AH  |  F IH K T S  |  M IY  |  IH G Z AE K T L IY  | 
t15.2023.08.20,7,27,IH F  |  AY  |  HH AE D  |  T UW  |  B IH K  |  AH  |  F EY V ER IH T  |  T IY M  | 
t15.2023.08.20,7,28,B R IH G IH NG  |  S AH M TH IH NG  |  F AO R  |  AH  |  P AH L IH K  |  P IH G N AH K  | 
t15.2023.08.20,7,29,AY M  |  B IY IH NG  |  V EH R IY  |  G UH D  | 
t15.2023.08.20,7,30,HH IY  |  W ER K S  |  AA N  |  DH AH  |  R AW G R AH D  | 
t15.2023.08.20,7,31,AY  |  G OW  |  W IH DH  |  G UH D  |  IH N T EH SH AH N Z  | 
t15.2023.08.20,7,32,N OW  |  DH EH R Z  |  N OW  |  W EY  | 
t15.2023.08.20,7,33,DH AE T  |  W IH L  |  S EH D  |  W AH N D ER F AH L  | 
t15.2023.08.20,7,34,Y AO R  |  K AA R  |  IH Z  |  F AY N  |  AH N D  |  EH V R IY TH IH NG  | 
t15.2023.08.20,7,35,L AY K  |  S EH K AH N D  |  CH AA B Z  |  DH AE T  |  DH EY  |  W ER K  |  IH N  |  DH AH  |  AE S T AH N ER N Z  | 
t15.2023.08.20,7,36,W UH D AH N T  |  DH AE T  |  B IY  |  AO F AH L  |  IH F  |  Y UW  |  W ER  | 
t15.2023.08.20,7,37,W IY R  |  S AH P OW Z D  |  T UW  |  B IY  | 
t15.2023.08.20,7,38,G OW  |  T UW  |  T EY K  |  AH  |  SH AW ER  | 
